capture_time,completion_time_s,condition,condition_id,condition_label,demo_dtw,demo_end_error,demo_frechet,demo_hausdorff,demo_length,demo_mnd,demo_start_error,demo_success_rate,demo_times,deposit_time,feedback_mode,gp_dtw,gp_end_error,gp_frechet,gp_hausdorff,gp_length,gp_mnd,gp_start_error,gp_success,hardware_connected,input_mode,last_demo_time_s,mean_demo_time_s,min_approach_dist,mode,n_demos,participant_count,participant_folder,participant_id,participant_index,path_length,per_demo_mnd,per_demo_wall_hits,required_demos_target,session_folder,success,success_tolerance_m,target_length,task_success,tlx_effort,tlx_frustration,tlx_mental,tlx_overall,tlx_performance,tlx_physical,tlx_temporal,total_demo_time_s,trial_in_file,trial_index,tube,validation_run,wall_hit_events_mean,wall_hit_events_total
,,kinesthetic,,,0.026546985588664945,,0.08405221159578606,0.007507384765919965,0.12141928376149164,0.0025610395349483545,,,[3.548140287399292],,,0.022050330497134337,,0.08405112153227193,0.007507589076825762,0.11561174369415243,0.0037396100712622543,,,,,,,,,1,,,,,,[0.0025610395349483545],,,session_1773788561,,,0.11428401343924717,,,,,,,,,,1,,s_curve,,,
,,kinesthetic,,,0.022711143491106436,,0.08405221159578606,0.00813081024430566,0.3270681084261674,0.0027569152872261794,,,"[3.548140287399292, 2.7922403812408447]",,,0.021932970906307688,,0.08258781702217463,0.006129271875358266,0.11483277208624386,0.00245205236263815,,,,,,,,,2,,,,,,"[0.0025610395349483545, 0.0030074032380944756]",,,session_1773788561,,,0.11428401343924717,,,,,,,,,,2,,s_curve,,,
,,kinesthetic,,,0.021912232797086807,,0.08405221159578606,0.00813081024430566,0.5741393996473989,0.0027301091200997774,,,"[3.548140287399292, 2.7922403812408447, 3.242605209350586]",,,0.022396646935053516,,0.08125213239570794,0.008065779176279219,0.1283748060391402,0.0037182643351830985,,,,,,,,,3,,,,,,"[0.0025610395349483545, 0.0030074032380944756, 0.0026764091839936183]",,,session_1773788561,,,0.11428401343924717,,,,,,,,,,3,,s_curve,,,
,,kinesthetic,,,0.02018631898545917,,0.08405221159578606,0.00813081024430566,0.8077084095310342,0.0029994899169795775,,,"[3.548140287399292, 2.7922403812408447, 3.242605209350586, 3.4466400146484375]",,,0.022254165002568962,,0.08082366841432814,0.009033219645455386,0.1436790017331017,0.00409199140207801,,,,,,,,,4,,,,,,"[0.0025610395349483545, 0.0030074032380944756, 0.0026764091839936183, 0.0037779834777737185]",,,session_1773788561,,,0.11428401343924717,,,,,,,,,,4,,s_curve,,,
,,kinesthetic,,,0.015288067342894767,,0.08405221159578606,0.00813081024430566,0.8976640842995771,0.002821374601438852,,,"[3.548140287399292, 2.7922403812408447, 3.242605209350586, 3.4466400146484375, 3.1339433193206787]",,,0.021917278883957027,,0.07042144617960347,0.01156715159579293,0.15730875697337932,0.004347845562027409,,,,,,,,,5,,,,,,"[0.0025610395349483545, 0.0030074032380944756, 0.0026764091839936183, 0.0037779834777737185, 0.0020744978376290974]",,,session_1773788561,,,0.11428401343924717,,,,,,,,,,5,,s_curve,,,
,,kinesthetic,,,0.02764289255118882,,0.08029993722076612,0.03745081574731364,0.19447030483742578,0.007501570121737363,,,[2.390496253967285],,,0.028572337111861894,,0.08030608453240101,0.037157446198395755,0.20878984319752958,0.009065364779456398,,,,,,,,,1,,,,,,[0.007501570121737363],,,session_1773788561,,,0.11428401343924717,,,,,,,,,,6,,s_curve,,,
,,kinesthetic,,,0.028055118138319755,,0.08029993722076612,0.03745081574731364,0.19813386905008107,0.0072201405957057485,,,"[2.390496253967285, 0.7970640659332275]",,,0.025285169999030004,,0.07285542040942149,0.03765852579432558,0.444293472666141,0.011295442874991447,,,,,,,,,2,,,,,,"[0.007501570121737363, 0.006328947096605642]",,,session_1773788561,,,0.11428401343924717,,,,,,,,,,7,,s_curve,,,
,,kinesthetic,,,0.020824311174963847,,0.09035759614334612,0.017549280845133394,0.7743342217135807,0.003786265620601892,,,"[3.056777000427246, 2.5703678131103516, 2.312220573425293, 2.21445894241333]",,,0.02245744702423228,,0.08315925071274645,0.011547901583551134,0.13827830425388793,0.004051647825352416,,,,,,,,,4,,,,,,"[0.004035334791290908, 0.004076035952531759, 0.004566730646698883, 0.0023622134998097185]",,,session_1773821038,,,0.11428401343924717,,,,,,,,,,1,,s_curve,,,
,,kinesthetic,,,0.01951810142417426,,0.09035759614334612,0.017549280845133394,2.040348161107753,0.003289455858588709,,,"[3.056777000427246, 2.5703678131103516, 2.312220573425293, 2.21445894241333, 3.003089189529419, 3.4234676361083984, 4.898768663406372, 2.9398910999298096, 2.8856444358825684, 3.5668816566467285]",,,0.022057042211691993,,0.08052374902907986,0.005953540896330561,0.11995500570503587,0.0023480203227052546,,,,,,,,,10,,,,,,"[0.004035334791290908, 0.004076035952531759, 0.004566730646698883, 0.0023622134998097185, 0.003157255553861317, 0.0007443933785117049, 0.005173352689745146, 0.0019336350067278903, 0.0016229763579094407, 0.004295676008357922]",,,session_1773821038,,,0.11428401343924717,,,,,,,,,,2,,s_curve,,,
,,kinesthetic,,,0.025516394763328804,,0.08420714054217122,0.011575640212922544,0.11781803827130022,0.006063378853586772,,,[2.8363542556762695],,,0.0234698751560323,,0.08417031046825459,0.011581602341475185,0.11037091305411623,0.005762554975701452,,,,,,,,,1,,,,,,[0.006063378853586772],,,session_1773821159,,,0.11428401343924717,,,,,,,,,,1,,s_curve,,,
